Date,Anomaly
1925-01-01,-0.42
1925-02-01,-0.36
1925-03-01,-0.24
1925-04-01,-0.17
1925-05-01,-0.21
1925-06-01,-0.26
1925-07-01,-0.22
1925-08-01,-0.22
1925-09-01,-0.23
1925-10-01,-0.11
1925-11-01,-0.04
1925-12-01,0.04
1926-01-01,0.17
1926-02-01,0.04
1926-03-01,0.1
1926-04-01,0.02
1926-05-01,-0.2
1926-06-01,-0.15
1926-07-01,-0.22
1926-08-01,-0.18
1926-09-01,-0.13
1926-10-01,0.01
1926-11-01,-0.08
1926-12-01,-0.24
1927-01-01,-0.26
1927-02-01,-0.15
1927-03-01,-0.34
1927-04-01,-0.29
1927-05-01,-0.22
1927-06-01,-0.16
1927-07-01,-0.17
1927-08-01,-0.06
1927-09-01,-0.07
1927-10-01,0.0
1927-11-01,-0.02
1927-12-01,-0.27
1928-01-01,-0.08
1928-02-01,-0.11
1928-03-01,-0.22
1928-04-01,-0.21
1928-05-01,-0.19
1928-06-01,-0.19
1928-07-01,-0.2
1928-08-01,-0.21
1928-09-01,-0.09
1928-10-01,-0.18
1928-11-01,-0.1
1928-12-01,-0.11
1929-01-01,-0.35
1929-02-01,-0.44
1929-03-01,-0.3
1929-04-01,-0.39
1929-05-01,-0.34
1929-06-01,-0.39
1929-07-01,-0.37
1929-08-01,-0.23
1929-09-01,-0.21
1929-10-01,-0.15
1929-11-01,-0.17
1929-12-01,-0.45
1930-01-01,-0.31
1930-02-01,-0.23
1930-03-01,-0.16
1930-04-01,-0.13
1930-05-01,-0.17
1930-06-01,-0.13
1930-07-01,-0.08
1930-08-01,-0.13
1930-09-01,-0.14
1930-10-01,-0.07
1930-11-01,0.19
1930-12-01,0.02
1931-01-01,-0.02
1931-02-01,-0.18
1931-03-01,-0.06
1931-04-01,-0.14
1931-05-01,-0.13
1931-06-01,-0.03
1931-07-01,-0.01
1931-08-01,0.0
1931-09-01,0.02
1931-10-01,0.02
1931-11-01,-0.04
1931-12-01,-0.03
1932-01-01,0.13
1932-02-01,-0.19
1932-03-01,-0.11
1932-04-01,-0.02
1932-05-01,-0.13
1932-06-01,-0.12
1932-07-01,-0.21
1932-08-01,-0.26
1932-09-01,-0.07
1932-10-01,-0.06
1932-11-01,-0.25
1932-12-01,-0.19
1933-01-01,-0.15
1933-02-01,-0.28
1933-03-01,-0.21
1933-04-01,-0.2
1933-05-01,-0.22
1933-06-01,-0.25
1933-07-01,-0.24
1933-08-01,-0.24
1933-09-01,-0.31
1933-10-01,-0.18
1933-11-01,-0.27
1933-12-01,-0.33
1934-01-01,-0.26
1934-02-01,-0.08
1934-03-01,-0.26
1934-04-01,-0.26
1934-05-01,-0.05
1934-06-01,-0.11
1934-07-01,-0.09
1934-08-01,-0.08
1934-09-01,-0.06
1934-10-01,-0.02
1934-11-01,0.06
1934-12-01,-0.02
1935-01-01,-0.28
1935-02-01,0.12
1935-03-01,-0.16
1935-04-01,-0.36
1935-05-01,-0.24
1935-06-01,-0.27
1935-07-01,-0.11
1935-08-01,-0.12
1935-09-01,-0.1
1935-10-01,-0.06
1935-11-01,-0.16
1935-12-01,-0.09
1936-01-01,-0.29
1936-02-01,-0.28
1936-03-01,-0.2
1936-04-01,-0.14
1936-05-01,-0.14
1936-06-01,-0.16
1936-07-01,-0.04
1936-08-01,-0.02
1936-09-01,-0.07
1936-10-01,0.01
1936-11-01,-0.02
1936-12-01,0.01
1937-01-01,-0.06
1937-02-01,0.0
1937-03-01,-0.19
1937-04-01,-0.16
1937-05-01,-0.04
1937-06-01,-0.03
1937-07-01,-0.02
1937-08-01,0.08
1937-09-01,0.14
1937-10-01,0.1
1937-11-01,0.12
1937-12-01,-0.04
1938-01-01,0.03
1938-02-01,0.05
1938-03-01,0.08
1938-04-01,0.06
1938-05-01,-0.06
1938-06-01,-0.18
1938-07-01,-0.02
