Date,Anomaly
1925-01-01,
1925-02-01,
1925-03-01,
1925-04-01,
1925-05-01,
1925-06-01,
1925-07-01,
1925-08-01,
1925-09-01,
1925-10-01,
1925-11-01,
1925-12-01,
1926-01-01,
1926-02-01,
1926-03-01,
1926-04-01,
1926-05-01,
1926-06-01,
1926-07-01,
1926-08-01,
1926-09-01,
1926-10-01,
1926-11-01,
1926-12-01,
1927-01-01,
1927-02-01,
1927-03-01,
1927-04-01,
1927-05-01,
1927-06-01,
1927-07-01,
1927-08-01,
1927-09-01,
1927-10-01,
1927-11-01,
1927-12-01,
1928-01-01,
1928-02-01,
1928-03-01,
1928-04-01,
1928-05-01,
1928-06-01,
1928-07-01,
1928-08-01,
1928-09-01,
1928-10-01,
1928-11-01,
1928-12-01,
1929-01-01,
1929-02-01,
1929-03-01,
1929-04-01,
1929-05-01,
1929-06-01,
1929-07-01,
1929-08-01,
1929-09-01,
1929-10-01,
1929-11-01,
1929-12-01,
1930-01-01,
1930-02-01,
1930-03-01,
1930-04-01,
1930-05-01,
1930-06-01,
1930-07-01,
1930-08-01,
1930-09-01,
1930-10-01,
1930-11-01,
1930-12-01,
1931-01-01,
1931-02-01,
1931-03-01,
1931-04-01,
1931-05-01,
1931-06-01,
1931-07-01,
1931-08-01,
1931-09-01,
1931-10-01,
1931-11-01,
1931-12-01,
1932-01-01,
1932-02-01,
1932-03-01,
1932-04-01,
1932-05-01,
1932-06-01,
1932-07-01,
1932-08-01,
1932-09-01,
1932-10-01,
1932-11-01,
1932-12-01,
1933-01-01,
1933-02-01,
1933-03-01,
1933-04-01,
1933-05-01,
1933-06-01,
1933-07-01,
1933-08-01,
1933-09-01,
1933-10-01,
1933-11-01,
1933-12-01,
1934-01-01,
1934-02-01,
1934-03-01,
1934-04-01,
1934-05-01,
1934-06-01,
1934-07-01,
1934-08-01,
1934-09-01,
1934-10-01,
1934-11-01,
1934-12-01,-0.15433333333333332
1935-01-01,-0.15316666666666665
1935-02-01,-0.14916666666666664
1935-03-01,-0.1485
1935-04-01,-0.15008333333333332
1935-05-01,-0.15033333333333335
1935-06-01,-0.15041666666666667
1935-07-01,-0.14950000000000002
1935-08-01,-0.14866666666666667
1935-09-01,-0.14758333333333334
1935-10-01,-0.14716666666666667
1935-11-01,-0.14816666666666667
1935-12-01,-0.14925
1936-01-01,-0.15308333333333335
1936-02-01,-0.15575
1936-03-01,-0.15825000000000003
1936-04-01,-0.15958333333333335
1936-05-01,-0.15908333333333333
1936-06-01,-0.15916666666666665
1936-07-01,-0.15766666666666668
1936-08-01,-0.15633333333333335
1936-09-01,-0.15583333333333335
1936-10-01,-0.15583333333333332
1936-11-01,-0.15533333333333335
1936-12-01,-0.15325
1937-01-01,-0.15158333333333335
1937-02-01,-0.15033333333333332
1937-03-01,-0.14908333333333335
1937-04-01,-0.14800000000000002
1937-05-01,-0.14650000000000002
1937-06-01,-0.1454166666666667
1937-07-01,-0.14416666666666667
1937-08-01,-0.143
1937-09-01,-0.14125
1937-10-01,-0.1404166666666667
1937-11-01,-0.13925
1937-12-01,-0.13733333333333334
1938-01-01,-0.13641666666666669
1938-02-01,-0.13508333333333333
1938-03-01,-0.13258333333333333
1938-04-01,-0.13033333333333333
1938-05-01,-0.12925
1938-06-01,-0.12916666666666668
1938-07-01,-0.12766666666666668
1938-08-01,-0.12608333333333333
1938-09-01,-0.12491666666666666
1938-10-01,-0.12258333333333334
1938-11-01,-0.12116666666666667
1938-12-01,-0.12100000000000001
1939-01-01,-0.11858333333333332
1939-02-01,-0.11533333333333333
1939-03-01,-0.11458333333333334
1939-04-01,-0.11225
1939-05-01,-0.10941666666666668
1939-06-01,-0.10616666666666667
1939-07-01,-0.10275
1939-08-01,-0.10016666666666667
1939-09-01,-0.09858333333333333
