ds,trend,Year
1925-12-31,-0.19825603333333333,1925
1926-12-31,-0.19298602086424824,1926
1927-12-31,-0.18771600839516314,1927
1928-12-31,-0.18243155753575177,1928
1929-12-31,-0.17716154506068837,1929
1930-12-31,-0.17189153258562495,1930
1931-12-31,-0.16662152011056153,1931
1932-12-31,-0.16133706935313835,1932
1933-12-31,-0.15606705698576273,1933
1934-12-31,-0.15079704461838714,1934
1935-12-31,-0.14552703226508226,1935
1936-12-31,-0.14024258152176833,1936
1937-12-31,-0.13497256916846348,1937
1938-12-31,-0.1297025568151586,1938
1939-12-31,-0.12443254446427948,1939
1940-12-31,-0.11914809372339795,1940
1941-12-31,-0.11387808137251886,1941
1942-12-31,-0.10860806899123207,1942
1943-12-31,-0.1033380566099453,1943
1944-12-31,-0.09805360583857281,1944
1945-12-31,-0.09278359350245619,1945
1946-12-31,-0.08751358116633957,1946
1947-12-31,-0.08224356883022296,1947
1948-12-31,-0.07695911818952371,1948
1949-12-31,-0.07168910593855313,1949
1950-12-31,-0.06641909368758254,1950
1951-12-31,-0.061149081460651046,1951
1952-12-31,-0.05586463084405669,1952
1953-12-31,-0.05059461861712515,1953
1954-12-31,-0.04532460631764278,1954
1955-12-31,-0.04005459401816038,1955
1956-12-31,-0.034770143328816415,1956
1957-12-31,-0.02950013102933404,1957
1958-12-31,-0.024230118255311763,1958
1959-12-31,-0.018960105481289485,1959
1960-12-31,-0.013675654316105516,1960
1961-12-31,-0.00840564084323799,1961
1962-12-31,-0.0031356273703704663,1962
1963-12-31,0.002134386102497094,1963
1964-12-31,0.007499873469462184,1964
1965-12-31,0.012850701034878235,1965
1966-12-31,0.018201528600294215,1966
1967-12-31,0.023799896970547095,1967
1968-12-31,0.02941360333633489,1968
1969-12-31,0.035011971706587805,1969
1970-12-31,0.041885883496963906,1970
1971-12-31,0.04875979528733997,1971
1972-12-31,0.055652539712758194,1972
1973-12-31,0.06451209080954541,1973
1974-12-31,0.07337164190633262,1974
1975-12-31,0.08223119300311992,1975
1976-12-31,0.09111501684263808,1976
1977-12-31,0.10222653209822057,1977
1978-12-31,0.11333804735380314,1978
1979-12-31,0.1244495626093857,1979
1980-12-31,0.137588711109821,1980
1981-12-31,0.15069196029741366,1981
1982-12-31,0.16379520948500617,1982
1983-12-31,0.17868494258681278,1983
1984-12-31,0.19361546947793948,1984
1985-12-31,0.20850520257974595,1985
1986-12-31,0.2250809611362639,1986
1987-12-31,0.24165671969278202,1987
1988-12-31,0.25827789128644146,1988
1989-12-31,0.2762160815372327,1989
1990-12-31,0.294154271788024,1990
1991-12-31,0.312092462038815,1991
1992-12-31,0.33121429167841543,1992
1993-12-31,0.350283875881842,1993
1994-12-31,0.3693534600852684,1994
1995-12-31,0.38842304428869495,1995
1996-12-31,0.40817693172870595,1996
1997-12-31,0.4278768467986622,1997
1998-12-31,0.4475767618686185,1998
1999-12-31,0.46727678775596904,1999
2000-12-31,0.4870307863169837,2000
2001-12-31,0.5067308122043344,2001
2002-12-31,0.5264319562754722,2002
2003-12-31,0.5461331003466101,2003
2004-12-31,0.5658882201549292,2004
2005-12-31,0.5855893721662458,2005
2006-12-31,0.6052905241775626,2006
2007-12-31,0.624991676188879,2007
2008-12-31,0.6447468039591304,2008
2009-12-31,0.6644479559704468,2009
2010-12-31,0.6841491079817635,2010
2011-12-31,0.7038502599930802,2011
2012-12-31,0.7236053877633317,2012
2013-12-31,0.7433065397746481,2013
2014-12-31,0.7630076917859645,2014
2015-12-31,0.7827088437972811,2015
2016-12-31,0.8024639715675327,2016
2017-12-31,0.8221651235788493,2017
2018-12-31,0.8418662755901657,2018
2019-12-31,0.8615674276014821,2019
2020-12-31,0.881322555371734,2020
2021-12-31,0.9010237073830503,2021
2022-12-31,0.920724859394367,2022
2023-12-31,0.9404260114056834,2023
2024-12-31,0.9601811391759352,2024
2025-12-31,0.9798822911872516,2025
2026-12-31,0.999583443198568,2026
2027-12-31,1.0192845952098843,2027
2028-12-31,1.0390397229801365,2028
2029-12-31,1.0587408749914529,2029
2030-12-31,1.0784420270027693,2030
2031-12-31,1.0981431790140856,2031
2032-12-31,1.1178983067843373,2032
2033-12-31,1.1375994587956542,2033
2034-12-31,1.1573006108069706,2034
2035-12-31,1.1770017628182867,2035
2036-12-31,1.1967568905885384,2036
2037-12-31,1.2164580425998552,2037
2038-12-31,1.2361591946111716,2038
2039-12-31,1.255860346622488,2039
2040-12-31,1.2756154743927397,2040
2041-12-31,1.295316626404056,2041
2042-12-31,1.315017778415373,2042
2043-12-31,1.3347189304266893,2043
2044-12-31,1.3544740581969406,2044
2045-12-31,1.3741752102082572,2045
