Year,Anomaly,Predicted_linear,Predicted_quad,Predicted_piecewise
1925,-0.20333333333333334,-0.30452776159968964,-0.038385901125806615,-0.10929076546707968
1926,-0.07166666666666667,-0.29307516016307533,-0.0429018113176253,-0.10543071388006693
1927,-0.16749999999999998,-0.28162255872646114,-0.04709512531493029,-0.10157066229305417
1928,-0.1575,-0.27016995728984683,-0.05096584311772137,-0.09771061070604142
1929,-0.31583333333333335,-0.25871735585323263,-0.05451396472599876,-0.09385055911902868
1930,-0.11166666666666668,-0.24726475441661833,-0.057739490139762234,-0.08999050753201591
1931,-0.049999999999999996,-0.23581215298000413,-0.060642419359012045,-0.08613045594500317
1932,-0.12333333333333334,-0.22435955154338982,-0.06322275238374792,-0.08227040435799042
1933,-0.24,-0.21290695010677557,-0.06548048921397007,-0.07841035277097766
1934,-0.1025,-0.20145434867016132,-0.06741562984967842,-0.07455030118396491
1935,-0.1525,-0.19000174723354707,-0.06902817429087296,-0.07069024959695216
1936,-0.11166666666666668,-0.17854914579693282,-0.07031812253755373,-0.0668301980099394
1937,-0.008333333333333331,-0.16709654436031857,-0.07128547458972068,-0.06297014642292666
1938,0.005833333333333336,-0.15564394292370431,-0.07193023044737384,-0.05911009483591391
1939,0.018333333333333333,-0.14419134148709006,-0.07225239011051321,-0.055250043248901155
1940,0.15,-0.1327387400504758,-0.07225195357913877,-0.0513899916618884
1941,0.225,-0.12128613861386156,-0.07192892085325053,-0.047529940074875654
1942,0.09250000000000001,-0.10983353717724731,-0.07128329193284849,-0.0436698884878629
1943,0.075,-0.09838093574063306,-0.07031506681793268,-0.039809836900850146
1944,0.24166666666666667,-0.0869283343040188,-0.06902424550850306,-0.0359497853138374
1945,0.15416666666666667,-0.07547573286740455,-0.06741082800455964,-0.032089733726824644
1946,-0.03666666666666667,-0.0640231314307903,-0.06547481430610241,-0.028229682139811894
1947,-0.0041666666666666675,-0.05257052999417605,-0.06321620441313139,-0.024369630552799143
1948,-0.065,-0.0411179285575618,-0.06063499832564656,-0.020509578965786392
1949,-0.06083333333333333,-0.02966532712094755,-0.05773119604364796,-0.01664952737877364
1950,-0.12666666666666668,-0.018212725684333297,-0.05450479756713553,-0.012789475791760888
1951,-0.027499999999999997,-0.006760124247719046,-0.05095580289610932,-0.008929424204748137
1952,0.04583333333333334,0.0046924771888952055,-0.04708421203056931,-0.005069372617735385
1953,0.1025,0.016145078625509457,-0.04289002497051553,-0.0012093210307226338
1954,-0.09333333333333334,0.027597680062123736,-0.03837324171594789,0.0026507305562901177
1955,-0.12333333333333334,0.03905028149873799,-0.0335338622668665,0.006510782143302869
1956,-0.16166666666666665,0.05050288293535224,-0.02837188662327128,0.01037083373031562
1957,0.0625,0.06195548437196649,-0.022887314785162288,0.014230885317328372
1958,0.09583333333333333,0.07340808580858074,-0.017080146752539493,0.018090936904341125
